hour,LSTM_pred,XGBoost_pred
03:30:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248
,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248
,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248,18.7248
,18.7248,18.7248,18.7248"
03:45:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.710384,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384
,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384
,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384
,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384,18.710384
,18.710384,18.710384"
04:00:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.581438,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438
,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438
,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438
,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438,18.581438
,18.581438,18.581438"
04:15:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.41533,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533
,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533
,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533
,18.41533,18.41533,18.41533,18.41533,18.41533,18.41533"
04:30:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.58406,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406
,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406
,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406
,18.58406,18.58406,18.58406,18.58406,18.58406,18.58406"
04:45:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.71791,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791
,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791
,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791
,18.71791,18.71791,18.71791,18.71791,18.71791,18.71791"
05:00:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.629335,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335
,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335
,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335
,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335,18.629335
,18.629335,18.629335"
05:15:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.465279,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279
,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279
,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279
,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279,18.465279
,18.465279,18.465279"
05:30:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.61927,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927
,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927
,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927
,18.61927,18.61927,18.61927,18.61927,18.61927,18.61927"
05:45:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.641924,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924
,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924
,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924
,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924,18.641924
,18.641924,18.641924"
